typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20230101","2023","52","2023","251","FRA","France","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","49222421","false","7","l","49222421","false","49225950","false","0","false",,"725134586.533","725134586.533","0","false","true",
"C","A","20230101","2023","52","2023","251","FRA","France","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","3304","Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4229829.098","true","-1","N/A","0","false","4229829.098","true","0","false",,"250175422.113","250175422.113","6","false","true",
"C","A","20230101","2023","52","2023","251","FRA","France","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","4202","Trunks; suit, camera, jewellery, cutlery cases; travel, tool, similar bags; wholly or mainly covered by leather, composition leather, plastic sheeting, textile materials, vulcanised fibre, paperboard","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","514444.542","true","0","false",,"395910870.804","395910870.804","6","false","true",
"C","A","20240101","2024","52","2024","251","FRA","France","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","50161453.458","true","-1","N/A","0","false","50171905.194","true","0","false",,"686735691.011","686735691.011","6","false","true",
"C","A","20240101","2024","52","2024","251","FRA","France","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","3304","Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4245884.313","true","-1","N/A","0","false","4245884.313","true","0","false",,"256817764.72","256817764.72","6","false","true",
"C","A","20240101","2024","52","2024","251","FRA","France","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","4202","Trunks; suit, camera, jewellery, cutlery cases; travel, tool, similar bags; wholly or mainly covered by leather, composition leather, plastic sheeting, textile materials, vulcanised fibre, paperboard","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","1243418.3","true","0","false",,"1522634298.157","1522634298.157","6","false","true",
"C","A","20250101","2025","52","2025","251","FRA","France","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","2204","Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","46688293","false","7","l","46688293","false","46712825.692","true","0","false",,"714892899.495","714892899.495","4","false","true",
"C","A","20250101","2025","52","2025","251","FRA","France","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","3304","Cosmetic and toilet preparations; beauty, make-up and skin care preparations (excluding medicaments, including sunscreen or sun tan preparations), manicure or pedicure preparations","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4519281.136","true","-1","N/A","0","false","4519281.136","true","0","false",,"234498335.535","234498335.535","6","false","true",
"C","A","20250101","2025","52","2025","251","FRA","France","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","4202","Trunks; suit, camera, jewellery, cutlery cases; travel, tool, similar bags; wholly or mainly covered by leather, composition leather, plastic sheeting, textile materials, vulcanised fibre, paperboard","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","1052462.123","true","0","false",,"1424485777.858","1424485777.858","6","false","true",
